CaseID,RunID,Tester,YearsOfExperience,Order,Pair,Run,ALA,TotalSeconds,ResultTreatableLength,ResultMinTreatableDia,ResultStent1Dia,ResultStent1Length,ResultStent2Dia,ResultStent2Length,ResultCalciumPrep,ResultPostDilate,ResultBalloonDia,ResultBalloonLength,border_mods_in_kf_range,catheter_id,data_source,depth_value,num_border_mods,num_frames,num_kf_mods,pullback_speed,review_start,id
42176dad-e7b2-43b4-ac5b-e11903e86df5,007748c5-5210-4f25-a37c-06b0b467c248,Tester4,9,2,2,2A,TRUE,142,24,3,NA,NA,NA,NA,"cutting balloon, noncompliant balloon",yes,3,24,0,8,2A-17_AI-RCA_PRE,8.989037,1,2472,0,1,9/18/22 17:15,12
882fce54-090d-43e8-834a-4883306057e2,03973735-f41e-4d58-a631-f6e158437b8b,Tester9,16,7,2,2B,TRUE,250,20,3,NA,NA,NA,NA,balloon,NA,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
f2375b17-9e80-4105-b264-7c079e78e8fc,06bb70ef-c15e-4099-8a1d-21d1b13bf51d,Tester8,16,5,5,5A,FALSE,98,56,3,3,42,4.5,16,cutting balloon,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
91be8c8a-94c1-4e49-aaf5-320d1bc21b5a,07713ba1-7597-4f3c-a6c6-b1ad3394e075,Tester1,10,7,5,5A,TRUE,178,42,2.75,2.75,23,3.5,23,NA,NA,NA,NA,0,8,5A-07_AI-PRE_LAD,8.989037,0,2594,2,1,9/16/22 20:57,35
b7ca7740-52f4-4809-925d-ad31089760ac,07d37cf9-e3b7-4d8d-a252-50be3cc828d5,Tester6,6,5,4,4A,FALSE,140,32,3,3,32,NA,NA,noncompliant balloon,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
8596a41b-2d4a-4021-be1e-712832af74a9,11892e26-ede3-4e11-a9b7-36c44131ff70,Tester4,9,6,4,4A,TRUE,49,32,3,3,32,NA,NA,cutting balloon,yes,NA,NA,0,8,4A-110_AI-PRE_CX,8.989037,0,1134,1,1,9/18/22 17:53,29
6a517c77-c358-4e4b-9c7b-2a48bea845a2,12e9a907-47bf-48f1-88b2-0bb948806b4a,Tester9,16,10,3,3A,FALSE,334,48,3,3,48,NA,NA,POBA balloon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
e7efa7b1-67e7-4131-a741-ae4ec4ed054d,1492d042-4604-4d34-acc7-1b8a60fc9400,Tester9,16,1,4,4B,TRUE,338,16,3.5,3.5,16,NA,NA,noncompliant balloon,yes,NA,NA,0,8,4B-120_AI-CX_PRE,8.989037,0,1299,1,1,11/18/22 14:44,60
f2375b17-9e80-4105-b264-7c079e78e8fc,1633bb33-907c-4203-9474-77ee22ba9991,Tester8,16,3,4,4A,FALSE,135,38,3.5,3.5,38,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63
9062c7ca-7f6d-4cae-af37-cdbba2f42190,1addfcf2-3780-4c55-a47e-079d2ec8f2cf,Tester5,15,7,5,5A,FALSE,160,32,2.75,2.75,16,3,20,ROTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
8cc3e1eb-e286-41d1-9a99-873f6b3f5c8c,1e607089-76f3-4b5c-a1c1-3e4f24d298f0,Tester3,20,7,5,5B,FALSE,131,38,3,3,38,NA,NA,cutting balloon,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
eeeeb6cd-f6c5-4d45-8637-a6259181897a,207d451f-18de-49bc-996b-c398e36405a6,Tester3,20,8,5,5A,TRUE,58,60,3,3,38,4,24,cutting balloon,yes,NA,NA,0,8,5A-07_AI-PRE_LAD,8.989037,0,2594,2,1,9/18/22 16:06,61
f7ac4657-835a-4e8b-b93b-1b480a3c2a7a,27351dac-4609-459f-af3f-4d210cfdba77,Tester2,12,3,1,1B,FALSE,121,20,2.75,3.5,20,NA,NA,NA,yes,2.75,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,68
f2375b17-9e80-4105-b264-7c079e78e8fc,2749ed68-0261-41c9-a1aa-e981e08577bd,Tester8,16,1,3,3A,FALSE,138,52,2.5,2.5,38,3.5,16,balloon,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64
be95f253-44c4-4f59-bc83-6936a7a7254d,28b050b8-88f8-4b4a-82a8-3d475cb026d9,Tester3,20,1,2,2B,FALSE,115,na,3,3,na,NA,NA,cutting balloon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
b88cc701-ddee-42b4-a4f6-ae9bea32581e,2aa74507-26bd-4d7a-8f99-e332128a9afb,Tester8,16,8,1,1B,TRUE,32,32,3,3,32,NA,NA,noncompliant balloon,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
81da297e-7117-4ac7-bc99-c1879dd243b5,2adde3fe-6a8a-4862-9a31-ae13e95e9972,Tester6,6,1,2,2A,FALSE,230,50,2.5,3,24,2.5,28,"noncompliant balloon, cutting balloon, shockwave, laser",yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
abeca38d-0e91-4ccf-80ef-485844507698,33c22581-acf8-4c8f-85e8-9b8181e0de6c,Tester2,12,2,3,3A,TRUE,64,48,2.5,2.5,48,NA,NA,NA,NA,NA,NA,0,8,3A-34_AI-LAD_PRE,8.989037,1,2303,2,1,9/17/22 17:18,42
658f34d6-5022-4687-92eb-ecfb5b05a691,3793dffb-8ec0-4f0c-8b51-4aee7aaa358b,Tester4,9,5,4,4B,FALSE,340,52,2.5,2.5,16,3,38,shockwave,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
d6119d78-300a-4069-bbd3-927aca476673,39f03617-6eb7-4805-a0dc-d389726c79df,Tester6,6,4,3,3B,TRUE,132,32,3,3,32,NA,NA,"semicompliant balloon, cutting balloon",yes,NA,NA,0,8,3B-92_AI-pre_LAD,8.989037,0,2337,2,1,9/18/22 19:48,56
fd9c243b-eea3-4f57-ab84-cecef6bd9643,3c8acaae-8f89-4a0a-860c-895c960c6329,Tester9,16,5,1,1B,TRUE,165,20,3,NA,NA,NA,NA,cutting balloon,NA,3,20,0,8,2B-101_AI-CX_PRE,8.989037,0,2345,1,1,11/18/22 16:13,73
